Iterations,boostFactor,costPerPayRequest,executionTime,feePerByte,numFallbackSolns,numKnapsackSolns,numLeverageSolns,numPayRequestsPerTX,numPayRequestsProcessed,numUTXOsUsed,oneBTC,totalCost
5,0.94,0.24544519999999997,2.0438904762268066,22,5,0,0,2,10,5,8582,2.454452
5,0.94,0.2449421600000002,2.1857802867889404,22,4,1,0,2,10,5,8582,2.4494216000000018
5,0.94,0.24544519999999997,1.9872465133666992,22,5,0,0,2,10,5,8582,2.454452
5,0.94,0.24544519999999997,2.2928569316864014,22,5,0,0,2,10,5,8582,2.454452
5,0.94,0.24544519999999997,2.480073928833008,22,5,0,0,2,10,5,8582,2.454452
5,0.94,0.244995008,2.3249032497406006,22,4,1,0,2,10,5,8582,2.44995008
5,0.94,0.24544519999999997,2.5129971504211426,22,5,0,0,2,10,5,8582,2.454452
5,0.94,0.24544519999999997,2.4877877235412598,22,5,0,0,2,10,5,8582,2.454452
5,0.94,0.24084484799999886,2.5388290882110596,22,4,1,0,2,10,5,8582,2.4084484799999886
5,0.94,0.24544519999999997,2.2087631225585938,22,5,0,0,2,10,5,8582,2.454452
5,0.78,0.6536516139999973,2.3983922004699707,60,4,1,0,2,10,5,8582,6.536516139999973
5,0.78,0.6629069999999986,2.594616413116455,60,4,1,0,2,10,5,8582,6.629069999999985
5,0.78,0.669396,2.2627742290496826,60,5,0,0,2,10,5,8582,6.69396
5,0.78,0.6519458379999996,2.3617327213287354,60,4,1,0,2,10,5,8582,6.519458379999996
5,0.78,0.6601901999999982,2.498654365539551,60,4,1,0,2,10,5,8582,6.601901999999981
5,0.78,0.6564847439999999,2.41556978225708,60,4,1,0,2,10,5,8582,6.564847439999999
5,0.78,0.6370737639999966,2.532076358795166,60,3,2,0,2,10,5,8582,6.370737639999966
5,0.78,0.669396,2.524151563644409,60,5,0,0,2,10,5,8582,6.69396
5,0.78,0.6670614059999951,2.5581672191619873,60,4,1,0,2,10,5,8582,6.67061405999995
5,0.78,0.6453285699999974,2.4984681606292725,60,2,3,0,2,10,5,8582,6.453285699999975
5,0.54,2.23132,2.5282278060913086,200,5,0,0,2,10,5,8582,22.313200000000002
5,0.54,2.2044487499999987,2.7093467712402344,200,4,1,0,2,10,5,8582,22.04448749999999
5,0.54,2.104506016000003,2.7383644580841064,200,1,4,0,2,10,5,8582,21.045060160000027
5,0.54,2.0718334099999924,2.749803304672241,200,0,5,0,2,10,5,8582,20.718334099999925
5,0.54,2.2279499599999983,2.7631261348724365,200,4,1,0,2,10,5,8582,22.279499599999983
5,0.54,2.172313317999998,2.551682949066162,200,3,2,0,2,10,5,8582,21.723133179999977
5,0.54,2.1367161979999985,2.6038994789123535,200,2,3,0,2,10,5,8582,21.367161979999985
5,0.54,2.194435981999999,2.6332037448883057,200,4,1,0,2,10,5,8582,21.944359819999992
5,0.54,2.0928149819999917,2.6506259441375732,200,1,4,0,2,10,5,8582,20.928149819999916
5,0.54,2.1607442140000006,2.4804985523223877,200,3,2,0,2,10,5,8582,21.607442140000007
5,0.52,4.262188447999995,2.77314829826355,400,3,2,0,2,10,5,8582,42.621884479999956
5,0.52,4.366044306000001,2.8089194297790527,400,4,1,0,2,10,5,8582,43.660443060000006
5,0.52,4.3722239279999995,2.3192315101623535,400,4,1,0,2,10,5,8582,43.72223928
