Iterations,boostFactor,costPerPayRequest,executionTime,feePerByte,numFallbackSolns,numKnapsackSolns,numLeverageSolns,numPayRequestsPerTX,numPayRequestsProcessed,numUTXOsUsed,oneBTC,totalCost
5,0.43999999999999995,7.119783876666663,15.611550569534302,900,1,3,1,3,18,5,8582,128.15610977999992
5,0.43999999999999995,7.158495113333329,12.52377200126648,900,1,3,1,3,18,5,8582,128.85291203999992
5,0.43999999999999995,7.109865114444444,4.817213296890259,900,0,4,1,3,18,5,8582,127.97757206
5,0.43999999999999995,7.246303886666668,18.09497857093811,900,2,2,1,3,18,5,8582,130.43346996000002
5,0.43999999999999995,7.150224522222217,4.255708932876587,900,0,4,1,3,18,5,8582,128.7040413999999
5,0.43999999999999995,7.160472625714284,21.468061685562134,900,1,2,2,3,21,5,8582,150.36992513999996
5,0.43999999999999995,7.130071041111108,6.941553115844727,900,0,4,1,3,18,5,8582,128.34127873999995
5,0.43999999999999995,7.311492365555556,6.365110397338867,900,2,2,1,3,18,5,8582,131.60686258
5,0.43999999999999995,7.099198585333326,2.815561056137085,900,0,5,0,3,15,5,8582,106.48797877999989
5,0.43999999999999995,6.89103721333333,2.6898725032806396,900,0,5,0,3,15,5,8582,103.36555819999995
5,1.0,0.13490823885713782,42.625943660736084,22,3,0,2,5,35,5,8582,4.721788359999824
5,1.0,0.13470626400000174,40.06518244743347,22,4,0,1,5,30,5,8582,4.041187920000052
5,1.0,0.13345449485713762,49.03832244873047,22,3,0,2,5,35,5,8582,4.670907319999817
5,1.0,0.1336781053333326,26.972155809402466,22,1,0,4,5,45,5,8582,6.015514739999967
5,1.0,0.13649606399999895,44.83922290802002,22,4,0,1,5,30,5,8582,4.094881919999969
5,1.0,0.136694096,47.32482624053955,22,5,0,0,5,25,5,8582,3.4173524
5,1.0,0.13617124171428635,36.09323072433472,22,3,0,2,5,35,5,8582,4.765993460000022
5,1.0,0.13291814,30.13219666481018,22,1,0,4,5,45,5,8582,5.9813163
5,1.0,0.13356461649999538,37.11758852005005,22,2,0,3,5,40,5,8582,5.342584659999815
5,1.0,0.1352101297142803,32.68469047546387,22,3,0,2,5,35,5,8582,4.732354539999811
5,0.94,0.36790265399999966,32.93601655960083,60,3,1,1,5,30,5,8582,11.03707961999999
5,0.94,0.36646641885714165,36.26316285133362,60,3,0,2,5,35,5,8582,12.826324659999958
5,0.94,0.37280208000000004,46.589515924453735,60,5,0,0,5,25,5,8582,9.320052
5,0.94,0.35928114299999636,31.341249227523804,60,1,1,3,5,40,5,8582,14.371245719999854
5,0.94,0.3644628109999962,19.3622784614563,60,2,0,3,5,40,5,8582,14.578512439999848
5,0.94,0.36579954666666853,10.733329772949219,60,0,1,4,5,45,5,8582,16.460979600000083
5,0.94,0.36577156400000055,51.92029571533203,60,1,1,3,5,40,5,8582,14.630862560000022
5,0.94,0.3633369127999962,11.520200252532959,60,0,0,5,5,50,5,8582,18.16684563999981
5,0.94,0.3672859595555522,14.485300779342651,60,1,0,4,5,45,5,8582,16.52786817999985
5,0.94,0.36878816457142705,18.00183892250061,60,3,0,2,5,35,5,8582,12.907585759999947
5,0.84,1.2068138844444436,22.883819818496704,200,1,0,4,5,45,5,8582,54.306624799999966
5,0.84,1.201621369777781,25.396066427230835,200,1,0,4,5,45,5,8582,54.07296164000014
5,0.84,1.2104083971428514,10.111927032470703,200,2,1,2,5,35,5,8582,42.3642938999998
5,0.84,1.2206526514285692,13.602600336074829,200,3,0,2,5,35,5,8582,42.72284279999992
5,0.84,1.2045814849999967,9.867618560791016,200,1,1,3,5,40,5,8582,48.18325939999987
5,0.84,1.2191111048888845,19.404118061065674,200,1,0,4,5,45,5,8582,54.8599997199998
5,0.84,1.2196234666666699,8.25592827796936,200,3,1,1,5,30,5,8582,36.5887040000001
5,0.84,1.1832670308571385,6.645197868347168,200,1,2,2,5,35,5,8582,41.414346079999845
5,0.84,1.203887535499994,8.497279167175293,200,1,1,3,5,40,5,8582,48.15550141999976
5,0.84,1.2185099413333307,6.211358308792114,200,2,2,1,5,30,5,8582,36.55529823999992
5,0.6599999999999999,2.4088231455000075,15.416776895523071,400,1,1,3,5,40,5,8582,96.3529258200003
5,0.6599999999999999,2.416345480571425,18.368882417678833,400,2,1,2,5,35,5,8582,84.57209181999988
5,0.6599999999999999,2.4181688053333295,19.200658321380615,400,3,1,1,5,30,5,8582,72.54506415999988
5,0.6599999999999999,2.4042141304999864,6.81474232673645,400,0,2,3,5,40,5,8582,96.16856521999946
5,0.6599999999999999,2.397274814285712,21.792728900909424,400,2,1,2,5,35,5,8582,83.90461849999993
5,0.6599999999999999,2.399826852500003,27.06559681892395,400,1,1,3,5,40,5,8582,95.99307410000013
5,0.6599999999999999,2.3855631586666646,5.64793062210083,400,1,3,1,5,30,5,8582,71.56689475999994
5,0.6599999999999999,2.353341405999999,4.145912408828735,400,0,4,1,5,30,5,8582,70.60024217999997
5,0.6599999999999999,2.3915918759999952,7.731326580047607,400,1,2,2,5,35,5,8582,83.70571565999984
5,0.6599999999999999,2.4204305891428537,6.395859479904175,400,1,2,2,5,35,5,8582,84.71507061999988
5,0.64,5.39949144914286,11.29177474975586,900,2,1,2,5,35,5,8582,188.9822007200001
5,0.64,5.429281037142856,11.005573511123657,900,1,2,2,5,35,5,8582,190.02483629999998
5,0.64,5.444421422999997,11.965971231460571,900,1,1,3,5,40,5,8582,217.7768569199999
5,0.64,5.454769177499996,8.965990543365479,900,1,1,3,5,40,5,8582,218.19076709999985
5,0.64,5.420092897999998,14.779515981674194,900,1,3,1,5,30,5,8582,162.60278693999996
5,0.64,5.436956157142858,17.50715184211731,900,2,1,2,5,35,5,8582,190.29346550000002
5,0.64,5.462889753333333,20.1969952583313,900,3,1,1,5,30,5,8582,163.8866926
5,0.64,5.330682231999989,4.24461030960083,900,0,4,1,5,30,5,8582,159.9204669599997
5,0.64,5.458175537999994,12.319093465805054,900,2,0,3,5,40,5,8582,218.32702151999973
5,0.64,5.380331584571427,5.4114990234375,900,0,3,2,5,35,5,8582,188.31160545999992
5,1.0,0.09989880849999022,27.670958518981934,22,2,0,3,10,80,5,8582,7.991904679999218
5,1.0,0.09994079666665717,40.30520462989807,22,4,0,1,10,60,5,8582,5.99644779999943
5,1.0,0.09988246400000089,40.19745874404907,22,3,0,2,10,70,5,8582,6.991772480000063
5,1.0,0.09958147657143435,35.94585561752319,22,3,0,2,10,70,5,8582,6.970703360000404
